,,,Who We Are,,,,,,,,,,,,,,,,,,,Social and Economic Conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Housing and Neighborhood Conditions,,,,,,,,,,,,,,,,,,,,,Maternal and Child Heath,,,,,,,,,,,,,,,,Healthy Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,Borough,Name,Overall_Pop,Race_White,Race_Black,Race_Asian,Race_Latino,Race_Other,Age0to17,Age18to24,Age25to44,Age45to64,Age65plus,Ltd_Eng_Prof,lower_95CL,upper_95CL,NYC_Comparison,Born_Outside_US,lower_95CL,upper_95CL,NYC_Comparison,School_Absent,NYC_comparison,On_Time_HS_Grad,NYC_Comparison,Edu_Did_Not_Complete_HS,lower_95CL,upper_95CL,NYC_Comparison,Edu_HSGrad_Some_College,lower_95CL,upper_95CL,NYC_Comparison,Edu_College_Degree_And_Higher,lower_95CL,upper_95CL,NYC_Comparison,Poverty,Unemployment,lower_95CL,upper_95CL,NYC_Comparison,Rent_Burden,lower_95CL,upper_95CL,NYC_Comparison,Avertable_Death,Assault_Hosp,lower_95CL,upper_95CL,NYC_Comparison,Jail_Incarceration,Helpful_Neighbor,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Homes_No_Defects,Homes_No_Defects_reliability_note,Homes_Roach,Homes_Roach_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,Homes_AC,Homes_AC_reliability_note ,lower_95CL,upper_95CL,NYC_Comparison,Air_Pollution,Bike_Coverage,NYC_comparison,Pedestrian_Hosp,lower_95CL,upper_95CL,NYC_Comparison,Ratio_Bodega_Supermarket,Farmers_Markets,Late_No_Prenatal,NYC_Comparison,Preterm_Births,NYC_Comparison,Teen_Births,Teen_Births_reliability_note,NYC_Comparison,Child_Obesity,lower_95CL,upper_95CL,NYC_Comparison,Child_Asthma,Avoidable_Child_Hosp,lower_95CL,upper_95CL,NYC_Comparison,Self_Rep_Health,Self_Rep_Health_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Physical_Activity,Physical_Activity_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Sugary_Drink,Sugary_Drink_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Fruit_Veg,Fruit_Veg_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Smoking,Smoking_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Uninsured,Uninsured_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Unmet_Med_Care,Unmet_Med_Care_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Avoidable_Adult_Hosp,lower_95CL,upper_95CL,NYC_Comparison,Falls_Hosp,lower_95CL,upper_95CL,NYC_Comparison,HPV_Vaccination_All,HPV_Vaccincation_note,Flu_Vaccination,Flu_Vaccination_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Obesity,Obesity_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Diabetes,Diabetes_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Hypertension,Hypertension_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,HIV_Diagnoses,HIV_Diagnoses_reliability_note,HepC_Reports,Binge_Drink,Binge_Drink_reliability_note,lower_95CL,upper_95CL,NYC_Comparison,NYC_Comparison_Pvalues,Psych_Hosp,lower_95CL,upper_95CL,NYC_comparison,Infant_Mort,Infant_Mort_reliability_note,lower_95CL,upper_95CL,NYC_comparison,Premature_Mort_Number,Premature_Mort_Rate,NYC_Comparison,Life_Expectancy,lower_95CL,upper_95CL,NYC_Comparison,,
0,City,NYC,8467513,32,22,15,29,2,21,8,30,25,16,22,22.3,22.6,n/a,37,36.6,37.0,n/a,22,n/a,82,n/a,18,17.7,18.0,n/a,38,37.5,38.0,n/a,44,44.2,44.7,n/a,18,6,6,6,n/a,50,49,50,n/a,n/a,59,58.5,60.4,n/a,196,77,76.3,78.2,n/a,n/a,52,,24,,23.3,24.9,n/a,91,,90.4,91.5,n/a,6.1,14,n/a,23,22.4,23.6,n/a,9,136,6.8,n/a,9.2,n/a,13.2,,n/a,21,20.4,21.3,n/a,195,623,602.8,644.1,n/a,78.4,,77.4,79.4,n/a,n/a,73,,72.2,74.5,n/a,n/a,22,,21.1,23.2,n/a,n/a,89,,88.6,90.3,n/a,n/a,11,,10.5,12.1,n/a,n/a,13,,11.9,13.7,n/a,n/a,13,,11.7,13.5,n/a,n/a,1213,942.4,1483.3,n/a ,1604,1590.4,1618.1,n/a,77,,49,,48.0,50.5,n/a,n/a,25,,23.8,26.0,n/a,n/a,12,,11.5,13.0,n/a,n/a,27,,25.7,27.7,n/a,n/a,19.2,,33.0,18,,16.7,18.7,n/a,n/a,655,648.5,661.2,n/a,4.1,,3.9,4.3,n/a,65534,166.6,n/a,81.3,81.2,81.4,n/a,,
1,NYC,Manhattan,1576876,46,13,13,26,2,15,8,35,24,18,15,14.5,15.2,n/a,29,28.3,29.2,n/a,20,n/a,82,n/a,13,12.4,13.1,n/a,22,21.7,22.7,n/a,65,64.3,65.9,n/a,13,5,5,5,n/a,43,42,44,n/a,n/a,49,47.1,51.0,n/a,166,78,75.3,79.7,n/a,n/a,54,,20,,18.4,21.7,n/a,93,,91,94,n/a,7.2,34,n/a,21,19.2,21.8,n/a,6,42,5.3,n/a,8.4,n/a,8.2,,n/a,16,14.5,17.7,n/a,225,488,440.1,535.4,n/a,82.3,,80.1,84.3,n/a,n/a,82,,79.4,83.7,n/a,n/a,16,,14.1,18.4,n/a,n/a,90,,88.4,92.1,n/a,n/a,8,,7.1,10.0,n/a,n/a,8,,6.3,9.7,n/a,n/a,13,,10.9,15.0,n/a,n/a,878,673.9,1081.3,n/a ,1813,1781.6,1845.2,n/a,76,,57,,53.8,59.5,n/a,n/a,17,,15.5,19.5,n/a,n/a,9,,8.0,11.0,n/a,n/a,22,,20.3,24.4,n/a,n/a,21.1,,34.5,23,,21.0,25.9,n/a,n/a,664,649.4,677.8,n/a,2.7,,2.3,3.2,n/a,10221,136.5,n/a,84.1,84.1,84.2,n/a,,
2,NYC,Bronx,1424948,9,29,4,56,1,24,10,28,24,14,26,25.5,26.4,n/a,35,34.8,35.8,n/a,32,n/a,77,n/a,27,26.8,27.7,n/a,45,44.7,45.9,n/a,27,26.9,27.9,n/a,26,10,10,10,n/a,57,56,58,n/a,n/a,113,109.5,115.8,n/a,303,72,70.2,74.7,n/a,n/a,38,,39,,36.8,41.9,n/a,86,,84,87,n/a,6.1,16,n/a,28,25.9,29.1,n/a,9,29,13.1,n/a,10.4,n/a,20.0,,n/a,25,24.6,25.6,n/a,331,1254,1187.6,1321.1,n/a,73.0,,70.3,75.5,n/a,n/a,73,,69.9,75.2,n/a,n/a,34,,31.3,37.2,n/a,n/a,85,,83.1,87.4,n/a,n/a,15,,13.3,17.7,n/a,n/a,17,,15.0,20.0,n/a,n/a,15,,12.9,17.4,n/a,n/a,1958,1568.9,2348.1,n/a ,1677,1640.0,1713.8,n/a,86,,51,,48.1,54.1,n/a,n/a,33,,30.4,36.1,n/a,n/a,16,,14.0,17.9,n/a,n/a,33,,30.4,35.3,n/a,n/a,32.5,,46.7,18,,16.0,20.9,n/a,n/a,882,863.6,900.0,n/a,5.2,,4.6,5.8,n/a,15319,234.8,n/a,80.1,80.0,80.2,n/a,,
3,NYC,Brooklyn,2641052,37,29,13,19,2,22,8,32,23,15,22,21.6,22.1,n/a,36,35.8,36.4,n/a,21,n/a,81,n/a,18,17.4,17.9,n/a,39,38.5,39.2,n/a,44,43.2,43.9,n/a,19,6,6,6,n/a,51,50,51,n/a,n/a,59,57.0,60.3,n/a,210,77,75.8,78.9,n/a,n/a,52,,27,,25.2,27.8,n/a,90,,89,92,n/a,6.1,17,n/a,23,22.1,24.3,n/a,12,40,5.3,n/a,8.5,n/a,13.0,,n/a,20,19.0,20.7,n/a,166,502,471.0,533.7,n/a,78.4,,76.6,80.1,n/a,n/a,70,,68.3,72.4,n/a,n/a,22,,19.9,23.7,n/a,n/a,90,,88.7,91.5,n/a,n/a,11,,10.1,12.8,n/a,n/a,12,,11.0,14.1,n/a,n/a,12,,10.5,13.5,n/a,n/a,1280,983.7,1576.9,n/a ,1526,1500.9,1551.1,n/a,59,,45,,43.1,47.4,n/a,n/a,25,,23.2,27.0,n/a,n/a,12,,11.1,13.8,n/a,n/a,28,,26.6,30.2,n/a,n/a,17.7,,31.8,17,,15.2,18.5,n/a,n/a,692,679.9,703.8,n/a,3.5,,3.2,3.9,n/a,20851,179.2,n/a,82.1,82.0,82.1,n/a,,
4,NYC,Queens,2331143,25,18,27,28,3,20,7,29,27,17,29,28.6,29.2,n/a,47,46.9,47.6,n/a,17,n/a,86,n/a,18,17.7,18.3,n/a,42,41.6,42.5,n/a,40,39.5,40.4,n/a,17,6,5,6,n/a,51,50,52,n/a,n/a,37,35.2,38.0,n/a,136,78,76.5,80.1,n/a,n/a,57,,20,,18.2,21.4,n/a,92,,91,94,n/a,6.1,9,n/a,19,18.4,20.5,n/a,7,22,7.9,n/a,9.1,n/a,10.4,,n/a,21,19.9,21.5,n/a,133,461,426.6,496.4,n/a,77.4,,75.2,79.5,n/a,n/a,71,,69.0,73.6,n/a,n/a,21,,18.6,22.6,n/a,n/a,90,,88.6,91.8,n/a,n/a,10,,8.6,11.7,n/a,n/a,16,,14.0,17.7,n/a,n/a,12,,10.7,14.1,n/a,n/a,997,755.8,1233.1,n/a ,1352,1328.0,1375.4,n/a,75,,48,,45.9,50.8,n/a,n/a,24,,22.3,26.8,n/a,n/a,13,,11.3,14.5,n/a,n/a,26,,23.8,27.6,n/a,n/a,13.9,,25.9,14,,12.5,15.8,n/a,n/a,500,488.8,510.4,n/a,3.9,,3.5,4.4,n/a,14807,132.5,n/a,83.4,83.4,83.5,n/a,,
5,NYC,Staten Island,493494,58,9,12,19,2,22,8,26,27,17,11,10.5,11.5,n/a,23,22.6,23.9,n/a,20,n/a,86,n/a,11,10.7,11.8,n/a,48,46.5,48.6,n/a,41,40.3,42.1,n/a,11,5,4,5,n/a,48,45,50,n/a,n/a,59,54.7,62.8,n/a,221,84,80.6,87.6,n/a,n/a,74,,5,,3.7,6.7,n/a,95,,93,97,n/a,5.5,8,n/a,34,31.0,37.2,n/a,11,3,2.0,n/a,9.5,n/a,8.6,,n/a,20,19.0,21.1,n/a,85,270,211.7,338.4,n/a,82.7,,78.9,86.0,n/a,n/a,71,,66.6,75.5,n/a,n/a,21,,17.1,25.5,n/a,n/a,90,,86.9,92.6,n/a,n/a,17,,13.3,20.6,n/a,n/a,7,,4.7,9.3,n/a,n/a,10,,7.5,14.1,n/a,n/a,1117,855.3,1379.0,n/a ,2240,2174.2,2305.4,n/a,46,,41,,36.4,46.2,n/a,n/a,31,,26.3,35.7,n/a,n/a,10,,7.8,13.0,n/a,n/a,22,,18.8,25.6,n/a,n/a,6.7,,29.2,17,,13.5,21.9,n/a,n/a,555,529.6,579.6,n/a,4.6,,3.6,5.7,n/a,4336,185.0,n/a,80.6,80.5,80.8,n/a,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
